
680820230.182,44405.863775254629629629629630,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
680820230.389,44405.863777650462962962962963,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680820230.635,44405.863780497685185185185185,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
680820230.791,44405.863782303240740740740741,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Invalid response received
680820231.038,44405.863785162037037037037037,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
680820231.242,44405.863787523148148148148148,Recv,,,Error - Timed out waiting for Link Ack/Nak-2
680820231.488,44405.863790370370370370370370,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
680820231.537,44405.8637909375,Recv,/0x6/0x0,,Link Ack Received
680820231.667,44405.863792442129629629629630,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
680820231.791,44405.863793877314814814814815,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
Error - Expected link Ack/Nak not received

681222003.146, 44410.513923611111111111111111,Simulator v18.12.24 is starting as SGD,UCM Sent:,SGD Sent:
681222003.161,44410.513925474537037037037037,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Sent Operational State Query response
681222003.337,44410.513927511574074074074074,Recv,/0x6/0x0,,Link Ack Received
681222003.350,44410.513927662037037037037037,Recv,/0x8/0x1/0x0/0x2/0x3/0x13/0xDF/0x54,,Recieved an Application Ack with code: 13
681222003.389,44410.513928113425925925925926,Sent,,/0x6/0x0,Sent Link Ack
681222003.539,44410.513929849537037037037037,Sent,,/0x8/0x1/0x0/0x0/0x7E/0xCD,Sent Message Supported Query
681222003.610,44410.513930671296296296296296,Recv,/0x6/0x0,,Link Ack Received
681222003.855,44410.513933506944444444444444,Sent,,/0x8/0x2/0x0/0x0/0x7A/0xD0,Sent Message Supported Query
681222003.898,44410.513934004629629629629630,Recv,/0x6/0x0,,Link Ack Received
681222004.140,44410.513936805555555555555556,Sent,,/0x8/0x3/0x0/0x0/0x76/0xD3,Sent Message Supported Query
681222004.179,44410.513937256944444444444444,Recv,/0x6/0x0,,Link Ack Received
681222004.442,44410.513940300925925925925926,Sent,,/0x8/0x4/0x0/0x0/0x72/0xD6,Sent Message Supported Query
681222004.498,44410.513940949074074074074074,Recv,/0x6/0x0,,Link Ack Received
