
680372787.373,44400.685039039351851851851852,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372789.030,44400.685058217592592592592593,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680372789.234,44400.685060578703703703703704,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680372888.309,44400.686207280092592592592593,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372890.000,44400.686226851851851851851852,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680372890.218,44400.686229375,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680373401.705,44400.692149363425925925925926,Recv,,/0x15/0x0,Received unexpected link ack or nak
680373410.856,44400.692255277777777777777778,Recv,,/0x15/0x0,Received unexpected link ack or nak
680373422.886,44400.692394513888888888888889,Recv,,/0x15/0x0,Received unexpected link ack or nak
680373423.120,44400.692397222222222222222222,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680373423.326,44400.692399606481481481481482,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680373475.856,44400.693007592592592592592593,Recv,,/0x15/0x0,Received unexpected link ack or nak
680373480.624,44400.693062777777777777777778,Recv,,/0x15/0x0,Received unexpected link ack or nak
680373481.608,44400.693074166666666666666667,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680373481.809,44400.693076493055555555555556,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680373525.652,44400.693583935185185185185185,Recv,,/0x15/0x0,Received unexpected link ack or nak
680373527.201,44400.693601863425925925925926,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680373527.407,44400.693604247685185185185185,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680373528.528,44400.693617222222222222222222,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680373528.734,44400.693619606481481481481482,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680379247.294,44400.759806643518518518518518,Recv,,/0x15/0x0,Received unexpected link ack or nak
680379250.238,44400.759840717592592592592593,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680379250.450,44400.759843171296296296296296,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680381292.232,44400.783474907407407407407407,Recv,,/0x15/0x0,Received unexpected link ack or nak
680381335.851,44400.783979756944444444444444,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680381336.067,44400.783982256944444444444444,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680381337.130,44400.783994560185185185185185,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
