
667298244.201,44249.359307881944444444444444,Sent,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Sent Max Payload Query
Error - Expected link Ack/Nak not received
667298275.418,44249.359669189814814814814815,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
667298275.489,44249.359670011574074074074074,Recv,,/0x6/0x0,Link Ack Received
667298275.598,44249.359671273148148148148148,Recv,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x2/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0x9B/0xE0,Received Device Info
667298275.667,44249.359672071759259259259259,Sent,/0x6/0x0,,Sent Link Ack
667298298.589,44249.359937372685185185185185,Sent,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,,Sent Get Present Temperature Request
667298298.697,44249.359938622685185185185185,Recv,,/0x6/0x0,Link Ack Received
667298298.824,44249.359940092592592592592593,Recv,,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x3C/0xCC/0xB2,Received a Get Present Temperature Reply
667298298.903,44249.359941006944444444444444,Sent,/0x6/0x0,,Sent Link Ack
667298311.814,44249.360090439814814814814815,Sent,/0x8/0x2/0x0/0x2/0x6/0x0/0xF6/0x4C,,Sent Get Commodity Read Request
667298311.868,44249.360091064814814814814815,Recv,,/0x6/0x0,Link Ack Received
667298312.006,44249.360092662037037037037037,Recv,,/0x8/0x2/0x0/0x3/0x6/0x80/0x2/0xAF/0x10,Received a Set Commodity Read Reply
667298312.039,44249.360093043981481481481482,Sent,/0x6/0x0,,Sent Link Ack
667298411.999,44249.361249988425925925925926,Sent,/0x8/0x2/0x0/0x2/0x3/0x2/0xFB/0x48,,Sent Temerature Offset Request
667298412.097,44249.361251122685185185185185,Recv,,/0x6/0x0,Link Ack Received
667298412.221,44249.361252557870370370370370,Recv,,/0x8/0x2/0x0/0x5/0x3/0x82/0x0/0xA/0x0/0x13/0xA3,Received a Get Temperature Offset Reply
667298412.299,44249.361253460648148148148148,Sent,/0x6/0x0,,Sent Link Ack
667298425.409,44249.361405196759259259259259,Sent,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,,Sent Get Present Temperature Request
667298425.489,44249.361406122685185185185185,Recv,,/0x6/0x0,Link Ack Received
667298425.624,44249.361407685185185185185185,Recv,,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x3C/0xCC/0xB2,Received a Get Present Temperature Reply
667298425.700,44249.361408564814814814814815,Sent,/0x6/0x0,,Sent Link Ack
667298441.572,44249.361592268518518518518518,Sent,/0x8/0x2/0x0/0x2/0x3/0x1/0xFD/0x47,,Sent Get Tier Request
667298441.691,44249.361593645833333333333333,Recv,,/0x6/0x0,Link Ack Received
667298441.792,44249.361594814814814814814815,Recv,,/0x8/0x2/0x0/0x9/0x3/0x81/0x0/0x2/0x1B/0xCE/0x96/0x5C/0x4/0xDE/0xFB,Received a Get Tier request response
667298441.869,44249.361595706018518518518518,Sent,/0x6/0x0,,Sent Link Ack
667298758.737,44249.365263159722222222222222,Sent,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,,Sent Get Present Temperature Request
667298758.849,44249.365264456018518518518518,Recv,,/0x6/0x0,Link Ack Received
667298758.961,44249.365265752314814814814815,Recv,,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x3C/0xCC/0xB2,Received a Get Present Temperature Reply
667298759.036,44249.365266620370370370370370,Sent,/0x6/0x0,,Sent Link Ack
667298778.761,44249.365494918981481481481482,Sent,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,,Sent Get Present Temperature Request
667298778.875,44249.365496238425925925925926,Recv,,/0x6/0x0,Link Ack Received
667298778.996,44249.365497638888888888888889,Recv,,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x3D/0xCA/0xB3,Received a Get Present Temperature Reply
667298779.080,44249.365498611111111111111111,Sent,/0x6/0x0,,Sent Link Ack
667298822.393,44249.365999918981481481481482,Sent,/0x8/0x1/0x0/0x2/0x1/0x0/0xC/0x3D,,Sent Shed Command
667298822.500,44249.366001157407407407407407,Recv,,/0x6/0x0,Link Ack Received
667298822.568,44249.366001944444444444444444,Recv,,/0x8/0x1/0x0/0x2/0x3/0x1/0x4/0x42,Recieved an Application Ack with code: 1
667298822.606,44249.366002384259259259259259,Sent,/0x6/0x0,,Sent Link Ack
667298843.985,44249.366249826388888888888889,Recv,,/0x8/0x2/0x0/0x7/0x3/0x3/0x0/0x0/0x0/0x0/0x7F/0x1E/0xA0,Received a Set Setpoint Request
667298844.065,44249.366250752314814814814815,Sent,/0x6/0x0,,Sent Link Ack
667298844.172,44249.366251990740740740740741,Sent,/0x8/0x2/0x0/0x3/0x3/0x83/0x0/0xB6/0xB,,Sent Set Setpoint Reply
667298844.320,44249.366253703703703703703704,Recv,,/0x6/0x0,Link Ack Received
667298851.605,44249.366338020833333333333333,Sent,/0x8/0x1/0x0/0x2/0x1/0x1D/0xD1/0x5A,,Sent Shed Command
667298851.654,44249.366338587962962962962963,Recv,,/0x6/0x0,Link Ack Received
667298851.760,44249.366339814814814814814815,Recv,,/0x8/0x1/0x0/0x2/0x3/0x1/0x4/0x42,Recieved an Application Ack with code: 1
667298851.797,44249.366340243055555555555556,Sent,/0x6/0x0,,Sent Link Ack
667298892.759,44249.366814340277777777777778,Recv,,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,Received a Get Present Temperature Request
667298892.843,44249.3668153125,Sent,/0x6/0x0,,Sent Link Ack
667298892.953,44249.366816585648148148148148,Sent,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x46/0xB8/0xBC,,Sent Get Present Temperature Reply
667298893.065,44249.366817881944444444444444,Recv,,/0x6/0x0,Link Ack Received
667298904.538,44249.366950671296296296296296,Sent,/0x8/0x1/0x0/0x2/0x17/0x1D/0x8F/0x86,,Sent Loadup Command
667298904.576,44249.366951111111111111111111,Recv,,/0x6/0x0,Link Ack Received
667298904.683,44249.366952349537037037037037,Recv,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Recieved an Application Ack with code: 17
667298904.725,44249.366952835648148148148148,Sent,/0x6/0x0,,Sent Link Ack
667298946.130,44249.367432060185185185185185,Sent,/0x8/0x1/0x0/0x2/0x17/0x1D/0x8F/0x86,,Sent Loadup Command
667298946.204,44249.367432916666666666666667,Recv,,/0x6/0x0,Link Ack Received
667298946.286,44249.367433865740740740740741,Recv,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Recieved an Application Ack with code: 17
667298946.325,44249.367434317129629629629630,Sent,/0x6/0x0,,Sent Link Ack
