
664899282.888,44221.593551944444444444444444,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899282.934,44221.593552476851851851851852,Recv,/0x6/0x0,,Link Ack Received
664899346.891,44221.594292719907407407407407,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899346.937,44221.594293252314814814814815,Sent,,/0x6/0x0,Sent Link Ack
664899347.046,44221.594294513888888888888889,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899347.092,44221.594295046296296296296296,Sent,,/0x6/0x0,Sent Link Ack
664899347.202,44221.594296319444444444444444,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899347.249,44221.594296863425925925925926,Recv,/0x6/0x0,,Link Ack Received
664899347.353,44221.594298067129629629629630,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899347.402,44221.594298634259259259259259,Sent,,/0x6/0x0,Sent Link Ack
664899347.511,44221.594299895833333333333333,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899347.558,44221.594300439814814814814815,Sent,,/0x6/0x0,Sent Link Ack
664899347.670,44221.594301736111111111111111,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899347.715,44221.594302256944444444444444,Recv,/0x6/0x0,,Link Ack Received
664899528.186,44221.596391041666666666666667,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899528.236,44221.596391620370370370370370,Sent,,/0x6/0x0,Sent Link Ack
664899528.343,44221.596392858796296296296296,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899528.388,44221.596393379629629629629630,Sent,,/0x6/0x0,Sent Link Ack
664899528.496,44221.596394629629629629629630,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899528.543,44221.596395173611111111111111,Recv,/0x6/0x0,,Link Ack Received
664899528.652,44221.596396435185185185185185,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899528.700,44221.596396990740740740740741,Sent,,/0x6/0x0,Sent Link Ack
664899528.810,44221.596398263888888888888889,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899528.856,44221.596398796296296296296296,Sent,,/0x6/0x0,Sent Link Ack
664899528.985,44221.596400289351851851851852,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899529.030,44221.596400810185185185185185,Recv,/0x6/0x0,,Link Ack Received
664899579.014,44221.596979328703703703703704,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899579.060,44221.596979861111111111111111,Sent,,/0x6/0x0,Sent Link Ack
664899579.168,44221.596981111111111111111111,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899579.215,44221.596981655092592592592593,Sent,,/0x6/0x0,Sent Link Ack
664899579.325,44221.596982928240740740740741,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899579.367,44221.596983414351851851851852,Recv,/0x6/0x0,,Link Ack Received
664899579.480,44221.596984722222222222222222,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899579.529,44221.596985289351851851851852,Sent,,/0x6/0x0,Sent Link Ack
664899579.638,44221.596986550925925925925926,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899579.683,44221.596987071759259259259259,Sent,,/0x6/0x0,Sent Link Ack
